,Artist,Song,Emotion
116,Apocalyptica,Bring Them To Light ,angry
117,April Wine,Caught In The Crossfire,angry
118,April Wine,Just Between You And Me,happy
119,Arc Angels,Shape I'm In,happy
120,Arch Enemy,I Will Live Again,angry
121,Aretha Franklin,Baby I Love You,happy
122,Aretha Franklin,I'm In Love,happy
123,Aretha Franklin,Respect,relaxed
124,Aretha Franklin,See Saw,happy
125,Armin Van Buuren,In And Out Of Love,happy
126,Armored Saint,Reign Of Fire,angry
127,Arthur Alexander,Soldier Of Love,happy
128,Arthur Brown,Fire,angry
129,Ashanti,The Way That I Love You,happy
130,Asleep At The Wheel,Let Me Go Home Whiskey,relaxed
131,Asobi Seksu,Thursday,sad
132,Aterciopelados,Rompecabezas,sad
133,Atomic Rooster,Close Your Eyes,relaxed
134,Atreyu,Ex's And Oh's,sad
135,Atreyu,Ex's And Oh's (Instrumental Version),sad
136,Atreyu,Lip Gloss And Black,angry
137,Atreyu,Lonely,sad
138,Audioslave,Original Fire,angry
139,Austra,Spellwork,angry
140,Austrian Death Machine,It's Not A Tumor ,angry
141,Avalon,Testify To Love,relaxed
142,Avenged Sevenfold,God Hates Us,angry
143,Avenged Sevenfold,Nightmare,angry
144,Avenged Sevenfold,Scream,angry
145,Aventura,La Nina,sad
146,Axe Bahia,Beso En La Boca,sad
147,Axwell,Nothing But Love ,happy
148,Azure Ray,Shouldn't Have Loved,happy
149,Azure Ray,The Drinks We Drank Last Night,sad
150,B.B. King,Don't Answer The Door,relaxed
151,B.B. King,Merry Christmas Baby,happy
152,B.B. King,The Thrill Is Gone,happy
153,Baby Bash,Cyclone ,angry
154,Baby Bash,Fantasy Girl ,relaxed
155,Baby Bash,That's How I Go ,relaxed
156,Back Door Slam,Come Home,relaxed
157,Backstreet Boys,I Want It That Way,angry
158,Backstreet Boys,Quit Playing Games ,happy
159,Bad Company,Can't Get Enough,happy
160,Bad Company,Feel Like Makin' Love,happy
161,Bad Company [1],Can't Get Enough,happy
162,Bad Company [1],Feel Like Makin' Love,happy
163,Bad Religion,Flat Earth Society (Album Version),angry
164,Bad Religion,Let Them Eat War,angry
165,Bad Religion,The Biggest Killer In American History,angry
166,Bad Religion,The Lie,angry
167,Balkan Beat Box,War Again,angry
168,Band Of Horses,Is There A Ghost,relaxed
169,Band Of Horses,Islands On The Coast,relaxed
170,Band Of Horses,The Funeral,sad
171,Banda El Recodo,Pena Tras Pena,sad
172,Banda El Recodo,Tiro Arriba,sad
173,Banda Machos,Al Gato Y Al Raton,sad
174,Banda Maguey,Que Sacrificio,sad
175,Banda Pequenos Musical,Obra Maestra,sad
176,Barbara Lewis,Make Me Your Baby,happy
177,Barcelona,Colors,angry
178,Bare  Bobby,500 Miles Away from Home,relaxed
179,BarlowGirl,I Need You To Love Me,happy
180,BarlowGirl,Stay With Me,angry
181,Barry Manilow,Can't Smile Without You,sad
182,Barry Manilow,I'll Never Smile Again ,happy
183,Basement Jaxx,Good Luck ,relaxed
184,Bass  Fontella,Rescue Me,happy
185,Baths,Maximalist,happy
186,Bauhaus,The Passion Of Lovers,angry
187,Bay City Rollers,Money Honey,relaxed
188,Bayside,Already Gone,sad
189,Bayside,"Sick, Sick, Sick",sad
190,BeBe & CeCe Winans,I.O.U. Me,happy
191,Beach Boys,God Only Knows,happy
192,Beach House,Gila,sad
193,Bebel Gilberto,Aganju,sad
194,Beck,Earthquake Weather,sad
195,Beck,He's A Mighty Good Leader,happy
196,Beck,I Get Lonesome,sad
197,Beck,Lost Cause,angry
198,Beck,Nobody's Fault But My Own,sad
199,Bee Gees,Night Fever,sad
200,Beenie Man,Slam,relaxed
201,Belinda,Bella Traicion,sad
202,Belle & Sebastian,The Ghost Of Rockschool,relaxed
203,Belphegor,Blood Magick Necromance,angry
204,Ben Harper & The Innocent Criminals,Fight Outta You,angry
205,Ben Kweller,Fight,angry
206,Beres Hammond,Try If You Want,angry
207,Berlin,Now It's My Turn (Aqualite Mix),angry
208,Best Coast,Happy,happy
209,Best Coast,Honey,relaxed
210,Betty Wright,Where Is The Love,happy
211,Bettye LaVette,It Don't Come Easy,relaxed
212,Bettye Lavette,Joy,happy
213,Beyonce,Dangerously In Love,happy
214,Beyonce,I'd Rather Go Blind,relaxed
215,Bif Naked,Lucky,happy
216,Big Daddy Weave,Just The Way I Am,happy
217,Big Head Blues Club,Kind Hearted Woman,happy
218,Big Head Todd & The Monsters,Please Don't Tell Her,happy
219,Bill Callahan,Sycamore,angry
220,Billie Holiday,Am I Blue?,sad
221,Billie Holiday,Did I Remember?,angry
222,Billie Holiday,I Hear Music,relaxed
223,Billie Holiday,Nice Work If You Can Get It,relaxed
224,Billie Holiday,Prelude To A Kiss,happy
225,Billie Holiday,Summertime,relaxed
226,Billie Holiday,The Very Thought Of You,relaxed
227,Billie Holiday,There Is No Greater Love,happy
228,Billy Corgan,A100,happy
229,Billy Idol,Christmas Love,happy
230,Billy Joel,Uptown Girl,relaxed
231,Billy Ocean,Love Is Forever,happy
232,Billy Squier,In The Dark,sad
233,Billy Swan,I Can Help,relaxed
234,Bing Crosby,God Rest Ye Merry Gentlemen,relaxed
235,Bing Crosby,Happy Holidays ,happy
236,Bing Crosby,I Wish You A Merry Christmas,happy
237,Bing Crosby,Silent Night,relaxed
238,Bing Crosby,Sweet Leilani,relaxed
239,Black Dub,Canaan,happy
240,Black Eyed Peas,Power To The People,happy
241,Black Flag,Police Story,angry
242,Black Label Society,Bored To Tears,sad
243,Black Prairie,Red Rocking Chair,relaxed
244,Black Rebel Motorcycle Club,Ain't No Easy Way,relaxed
245,Black Sabbath,Sick and Tired,sad
246,Black Sabbath,The Devil Cried,angry
247,Black Sabbath,War Pigs,angry
248,Black Uhuru,I Love King Selassie,happy
249,Blackguard,Firefight,angry
250,Blackstreet,Joy,happy
251,Blake Shelton,Home,relaxed
252,Blessid Union Of Souls,I Believe,happy
253,Blind Faith,Can't Find My Way Home,relaxed
254,Blind Willie Johnson,God Don't Never Change,happy
255,Blind Willie Johnson,You'll Need Somebody On Your Bond,sad
256,Blink-182,I Miss You,sad
257,Bloc Party,Banquet,angry
258,Bloc Party,Like Eating Glass,sad
259,Blonde Redhead,Here Sometimes,relaxed
260,Blonde Redhead,Love Or Prison,happy
261,Blood Brothers,Love Rhymes With Hideous Car Wreck,happy
262,Blood Brothers,Set Fire To The Face On Fire,angry
263,Blood Red Shoes,One More Empty Chair,sad
264,"Blood, Sweat & Tears",You've Made Me So Very Happy,happy
265,Bloodsimple,Falling Backwards,angry
266,Bo Diddley,Bo Diddley,relaxed
267,Bo Diddley,Bring It To Jerome,relaxed
268,Bob Dylan,"Corrina, Corrina",relaxed
269,Bob Marley,Small Axe,sad
270,Bob Marley & The Wailers,Easy Skanking,relaxed
271,Bob Marley & The Wailers,No More Trouble,angry
272,Bob Marley & The Wailers,Rainbow Country (Red Gold And Green Version),relaxed
273,Bob Marley & The Wailers,Small Axe,sad
274,Bob Marley & The Wailers,So Much Trouble In The World,angry
275,Bob Marley & The Wailers,War,angry
276,Bobby Bare,500 Miles Away From Home,relaxed
277,Bobby Bare,Detroit City,relaxed
278,Bobby Caldwell,What You Won't Do For Love,happy
279,Bobby Darin,Blue Skies,relaxed
280,Bobby Darin,Dream Lover,relaxed
281,Bobby Helms,My Special Angel,relaxed
282,Bobby McFerrin,Drive My Car,happy
283,Bobby Vinton,Mr. Lonely,sad
284,Bobby Vinton,My Melody Of Love,happy
285,Bobby Womack,If You Think You're Lonely Now,sad
286,Bobby Womack,Lookin' For A Love,happy
287,Boney James,Don't Let Me Be Lonely Tonight ,sad
288,Boney James,I Get Lonely,sad
289,Boney James,Love Song ,happy
290,Bonnie 'Prince' Billy,Love Comes To Me,happy
291,Boston,Let Me Take You Home Tonight,relaxed
292,Boston,Party,happy
293,Bowerbirds,House Of Diamonds,relaxed
294,Boyz II Men,In My Life,happy
295,Boyz II Men,Silent Night,relaxed
296,Boyz II Men,What You Won't Do For Love,happy
297,Boz Scaggs,Breakdown Dead Ahead,angry
298,Braids,Lemonade,sad
299,Braille,Counter Attack ,angry
300,Brandon Heath,Love Never Fails,happy
301,Brandon Heath,Your Love,happy
302,Bread,Make It With You,relaxed
303,Breaking Benjamin,Until The End,angry
304,Brenton Wood,Gimme Little Sign,relaxed
305,Brett Dennen,Dancing At A Funeral,sad
306,Brian McKnight,Because Of His Love,happy
307,Brian McKnight,Crazy Love,happy
308,Brian McKnight,Love Of My Life,happy
309,Brian Wilson,Silent Night,relaxed
310,Bright Eyes,Devil Town,angry
311,British Sea Power,Oh Larsen B,sad
312,Britney Spears,Toxic,angry
313,Britt Nicole,The Lost Get Found,angry
314,Broadcast,Tender Buttons,sad
315,Broken Bells,Sailing To Nowhere,sad
316,Broken Social Scene,Fire Eye'd Boy,angry
317,Bronco,Cinco Locos,sad
318,Bronco,Oficialmente Loco,sad
319,Brook Benton,Lie To Me,angry
320,Brook Benton,Thank You Pretty Baby,happy
321,Brooklyn Tabernacle Choir,Happy Birthday Jesus,happy
322,Brooks & Dunn,Blue Christmas,relaxed
323,Brooks & Dunn,We'll Burn That Bridge,angry
324,Bruce Channel,Hey! Baby,relaxed
325,Bruce Hornsby,Walk In The Sun,relaxed
326,Bruce Springsteen,Fire,angry
327,Bruce Springsteen,I'm On Fire,angry
328,Bruce Springsteen,Save My Love,relaxed
329,Bruce Springsteen & The E Street Band,Fire ,angry
330,Bryan Ferry,This Love,happy
331,Buckcherry,Broken Glass,sad
332,Buddy Guy,I Smell Trouble,angry
333,Buffalo Springfield,I Am A Child,relaxed
334,Buffalo Springfield,Kind Woman,relaxed
335,Buffalo Tom,Taillights Fade,sad
336,Building 429,I Believe ,happy
337,Built To Spill,Goin' Against Your Mind,relaxed
338,Buke And Gass,Naked Cities,sad
339,Bullet For My Valentine,Alone,sad
340,Bullet For My Valentine,Scream Aim Fire,angry
341,Burial,Ghost Hardware,happy
342,Bury Your Dead,Twelfth Stroke Of Midnight,sad
343,Buzzcocks,Ever Fallen In Love?,happy
344,Buzzcocks,Ever Fallen in Love?,happy
345,Buzzcocks,Everybody's Happy Nowadays,happy
346,Buzzcocks,Love You More,happy
347,By The Tree,Beautiful One,happy
348,Byron Cage,Glory To Your Name,happy
349,Byron Cage,It Is To You,relaxed
350,Cafe Tacuba,Las Persianas,sad
351,Cake,Sick Of You,sad
352,Cake,War Pigs,angry
353,Calexico,Victor Jara's Hands,sad
354,Camilo Sesto,Tarde O Temprano,sad
355,Can,Moonshake,relaxed
356,Caribou,Found Out,sad
357,Caribou,Sun,relaxed
358,Carly Simon,Haven't Got Time For The Pain,angry
359,Carney,Love Me Chase Me,relaxed
360,Carole King,Will You Love Me Tomorrow?,happy
361,Carrie Rodriguez,Big Love,happy
362,Carrie Underwood,Home Sweet Home,relaxed
363,Cascada,Miracle,happy
364,Case  Neko & Her Boyfriends,Bowling Green,relaxed
365,Cassandra Wilson,A Day In The Life Of A Fool,sad
366,Cassandra Wilson,Black Orpheus,sad
367,Cassandra Wilson,Blue Skies,relaxed
368,Cassandra Wilson,Time After Time,sad
369,Casting Crowns,I Heard The Bells On Christmas Day,relaxed
370,Casting Crowns,Silent Night,relaxed
371,Casting Crowns,What This World Needs,happy
372,Cat Power,He War,angry
373,Cat Power,Sea Of Love,happy
374,Cat Stevens,Sad Lisa,sad
375,Catie Curtis,My Shirt Looks Good On You,happy
376,Cavalera Conspiracy,Blunt Force Trauma,angry
377,Cavo,Blame,sad
378,CeCe Winans,Away In A Manger,relaxed
379,CeCe Winans,Waging War,angry
380,Celine Dion,Blue Christmas,relaxed
381,Celine Dion,Don't Save It All For Christmas Day,happy
382,Celine Dion,God Bless America,relaxed
383,Celine Dion,Love Can Move Mountains,happy
384,Celine Dion,My Heart Will Go On,happy
385,Ceo,White Magic,relaxed
386,Chaka Khan,Got To Be There,relaxed
387,Chaka Khan,Through The Fire,angry
388,Chaka Khan,Will You Love Me?,happy
389,Chalino Sanchez,Baraja De Oro,sad
390,Chalino Sanchez,Baraja De Oro ,sad
391,Chalino Sanchez,Corazoncito Tirano,sad
392,Chalino Sanchez,Cuatro Espadas,sad
393,Chalino Sanchez,El Crimen De Culiacan,sad
394,Chamillionaire,Ridin ,sad
395,Channel  Bruce,Hey! Baby,relaxed
396,Charles Bradley,Heart Of Gold ,happy
397,Charles Bradley,I Believe In Your Love,happy
398,Charles Brown,Trouble Blues,angry
399,Charley Pride,Kiss An Angel Good Mornin',happy
400,Charlie Gracie,Butterfly,relaxed
401,Charlie Wilson,Without You,relaxed
402,Chayanne,Tu Boca,sad
403,Chayanne,Un Siglo Sin Ti,sad
404,Cheap Trick,Auf Wiedersehen,angry
405,Chelley,Took The Night,angry
406,Cher,Believe,happy
407,Cherrelle,Everything I Miss At Home,relaxed
408,Chet Baker,Let's Get Lost,angry
409,Chevelle,Send The Pain Below,angry
410,Chevelle,Vitamin R ,angry
411,Chic,I Want Your Love,happy
412,Chickenfoot,Sexy Little Thing,happy
413,Chimaira,Power Trip,angry
414,Chimaira,Pure Hatred,angry
415,Chiodos,Caves,angry
416,Chris Brown,Beautiful People ,happy
417,Chris Brown,I Love U,happy
418,Chris Isaak,Blue Christmas,relaxed
419,Chris Isaak,Have Yourself A Merry Little Christmas,happy
420,Chris Knight,A Pretty Good Guy,happy
421,Chris Ledoux,Hooked On An 8 Second Ride,angry
422,Chris Tomlin,Joy To The World ,happy
423,Chris Tomlin,Our God,happy
424,Christine McVie,Got A Hold On Me,happy
425,Chromeo,Don't Turn The Lights On,sad
426,City On A Hill,God Of Wonders,relaxed
427,Clannad,Now Is Here,relaxed
428,Clap Your Hands Say Yeah,In This Home On Ice,sad
429,Clap Your Hands Say Yeah,Is This Love?,happy
430,Clay Walker,Blue Christmas,relaxed
431,Clay Walker,I Can't Sleep,relaxed
432,Cline  Patsy,I Fall to Pieces,sad
433,Clooney  Rosemary,Come On-A My House,relaxed
434,Cloud Nothings,Old Street,relaxed
435,Clyde McPhatter,Lover Please,sad
436,Coco Montoya,Love Gotcha,happy
437,Cold,Suffocate,angry
438,Cold,Wicked World,angry
439,Cold War Kids,Hospital Beds,angry
440,Coldplay,Have Yourself A Merry Little Christmas,happy
441,Comeback Kid,Do Yourself A Favor,sad
442,Con Funk Shun,Ffun,happy
443,Concrete Blonde,Joey,angry
444,Conjunto Primavera,El Amor Que Nunca Fue,sad
445,Conjunto Primavera,Fue Un Placer Amarte,sad
446,Conjunto Primavera,No Le Ruegues,sad
447,Conjunto Primavera,No Se Vivir Sin Ti,sad
448,Connie Smith,Just For What I Am,happy
449,Corinne Bailey Rae,Is This Love,happy
450,Coro,Can't Let You Go,happy
451,Counting Crows,Accidentally In Love,happy
452,Courtney John,Lucky Man,happy
453,Cowboy Junkies,Flirted With You All My Life,sad
454,Cradle Of Filth,Nymphetamine,sad
455,Craig Morgan,God Must Really Love Me,happy
456,Craig Morgan,I Got You,relaxed
457,Crests  The,Sixteen Candles,happy
458,Cristian,Amor,sad
459,Crocodiles,All My Hate And My Hexes Are For You,angry
460,Crocodiles,Sleep Forever,relaxed
461,Cross Canadian Ragweed,Fightin' For,angry
462,Crowded House,Fall At Your Feet,sad
463,Crystal Castles,Alice Practice,sad
464,Crystal Castles,Vietnam,happy
465,Crystal Gayle,A Long And Lasting Love,happy
466,Cult,Fire Woman,angry
467,Culture Club,It's A Miracle,happy
468,Culture Club,The War Song,angry
469,Curtis Lee,Pretty Little Angel Eyes,happy
470,Curtis Mayfield,Give Me Your Love ,happy
471,Curtis Mayfield,People Never Give Up,angry
472,Cut Copy,Hearts On Fire,angry
473,Cyndi Lauper,Time After Time,sad
474,D'Angelo,Cruisin',happy
475,Da'Ville,On My Mind,relaxed
476,Daft Punk,Make Love,happy
477,Daft Punk,Revolution 909,relaxed
478,Daft Punk,Something About Us,happy
479,Daft Punk,Steam Machine,sad
480,Damien Rice,The Blowers Daughter,relaxed
481,Dan Deacon,Okie Dokie,angry
482,Dan Deacon,Wet Wings,sad
483,Danny Wilson,The Second Summer Of Love,happy
484,Danzig,Dirty Black Summer,sad
485,Darker My Love,Waves,sad
486,Darlene Zschech,Call Upon His Name ,relaxed
487,Darrell Evans,Trading My Sorrows,angry
488,Darryl Worley,Family Tree,relaxed
489,Daryl Hall & John Oates,Home For Christmas,relaxed
490,Daryl Hall & John Oates,Kiss On My List,happy
491,Daryle Singletary,Amen Kind Of Love,relaxed
492,Dashboard Confessional,Vindicated,sad
493,Dave Alvin,Black Sky,relaxed
494,Dave Barnes,Family Tree,relaxed
495,Dave Hollister,Take Care Of Home,relaxed
496,Dave Matthews & Tim Reynolds,Christmas Song,happy
497,Dave Matthews & Tim Reynolds,Crash Into Me,angry
498,Dave Matthews Band,Crash Into Me,angry
499,Dave Matthews Band,Everyday,happy
500,David Bisbal,Esclavo De Sus Besos,sad
501,David Bowie,Fame,happy
502,David Bowie,I'm Afraid Of Americans,angry
503,David Crowder Band,Feliz Navidad,happy
504,David Crowder Band,Our Love Is Loud,happy
505,David Guetta,On The Dancefloor ,angry
506,David Kersh,Goodnight Sweetheart,relaxed
507,David Lee Roth,Just Like Paradise,relaxed
508,David Rock Feinstein,Metal Will Never Die ,sad
509,DeBarge,All This Love,happy
510,DeGarmo & Key,Destined To Win,happy
511,DeGarmo & Key,Out Of The Danger Zone (Degarmo And Key Album Version),angry
512,Dead Boys,Sonic Reducer,sad
513,Dead Confederate,Run From The Gun,angry
514,Deadmau5,Outta My Life,sad
515,Dean Martin,Innamorata,happy
516,Dean Martin,Send Me The Pillow You Dream On,relaxed
517,Dean Martin,Silent Night,relaxed
518,Dean Martin,Until You Love Someone,happy
519,Death,Painkiller,angry
520,Death By Stereo,Welcome To The Party,angry
521,Death Cab For Cutie,Someday You Will Be Loved,happy
522,Death Cab For Cutie,We Laugh Indoors,happy
523,Debbie Gibson,Shake Your Love,happy
524,Deborah Allen,I Will Always Love You,happy
525,DecembeRadio,Love Can,happy
526,Decyfer Down,Crash,angry
527,Def Leppard,Comin' Under Fire,angry
528,Deftones,Bored,sad
529,Deftones,Lotion (LP Version),sad
530,Deftones,Minerva,relaxed
531,Deftones,No Ordinary Love (Remastered LP Version),happy
532,Deftones,You've Seen the Butcher,sad
533,Deitrick Haddon,Love Him Like I Do ,happy
534,Deitrick Haddon,So Good To Be In Love,happy
535,Delirious?,I Could Sing Of Your Love Forever,happy
536,Delirious?,Stronger,happy
537,Della Reese,Don't You Know,happy
538,Demon Hunter,Lifewar,angry
539,Deniece Williams,It's Gonna Take A Miracle,happy
540,Depeche Mode,Strangelove,angry
541,Descendents,Cheer,happy
542,Desperation Band,The Difference,happy
543,Destruction,Hate Is My Fuel,angry
544,Destructor,Skull Splitter,sad
545,Dethklok,Burn The Earth,angry
546,Devo,Be Stiff (Live),sad
547,Devo,Beautiful World,happy
548,Devo,Girl U Want,relaxed
549,Devo,Race Of Doom,angry
550,Diana Krall,Have Yourself A Merry Little Christmas,happy
551,Diana Krall,Little Girl Blue,relaxed
552,Diana Krall,My Love Is,happy
553,Diana Krall,You're My Thrill,happy
554,Diana Ross & The Supremes,In And Out Of Love,happy
555,Dianne Reeves,Afro Blue,relaxed
556,Dianne Reeves,Love For Sale,happy
557,Dido,Hunter,relaxed
558,Dierks Bentley,Free And Easy ,relaxed
559,Dierks Bentley,Pride ,happy
560,Digital Underground,Kiss You Back,happy
561,Dimmu Borgir,The Fundamental Alienation,angry
562,Dinah Washington,Blue Skies,relaxed
563,Dinora Y La Juventud,A Puro Dolor,sad
564,Dinosaur Jr.,Feel The Pain,angry
565,Dio,Stand Up And Shout,angry
566,Dionne Warwick,I've Been Loving You Too Long (LP Version),happy
567,Dionne Warwick,This Girl's In Love With You,happy
568,Dir En Grey,C,angry
569,Dire Straits,So Far Away,relaxed
570,Dirge Within,Self Medicate,angry
571,Discovery,So Insane,angry
572,Disturbed,Believe,angry
573,Disturbed,Indestructible,angry
574,Disturbed,The Game,angry
575,Dixie Chicks,I Can Love You Better,happy
576,Dixie Chicks,There's Your Trouble,angry
577,"Does It Offend You, Yeah?",The Monkeys Are Coming,angry
578,Dokken,Alone Again,sad
579,Dokken,Into The Fire,angry
580,Dolly Parton,But You Know I Love You,happy
581,Dolly Parton,I Will Always Love You,happy
582,Dolly Parton,It's Sure Gonna Hurt ,angry
583,Dolly Parton,Love Is Like A Butterfly,relaxed
584,Dolly Parton,Real Love,happy
585,Dolly Parton,Think About Love,happy
586,Dolly Parton,Yellow Roses,relaxed
587,Dolores O'Riordan,The Journey,relaxed
588,Domenic Marte,Eres Asi,sad
589,Don Henley,Sunset Grill,relaxed
590,Don Henley,Taking You Home,relaxed
591,Donald Byrd,Think Twice,happy
592,Donavon Frankenreiter,"Life, Love & Laughter",happy
593,Donna Summer,Bad Girls,sad
594,Donna Summer,I Feel Love,happy
595,Donna Summer,Love To Love You Baby,happy
596,Donnie McClurkin,Great And Mighty Is Our God,happy
597,Donnie McClurkin,I Love To Praise Him,happy
598,Donnie McClurkin,Psalm 27,happy
599,Donnie McClurkin,We Fall Down,sad
600,Donnie McClurkin,When You Love ,happy
601,Donny Hathaway,I Love You More Than You'll Ever Know,happy
602,Donny Hathaway,I Love You More Than You'll Ever Know (LP Version),happy
603,Donovan,Wear Your Love Like Heaven,happy
604,Doors,Light My Fire,angry
605,Doors,Love Her Madly,happy
606,Dottie Peoples,Happy In Jesus,happy
607,Doyle Bramhall,That's How Strong My Love Is,happy
608,Dr. Dog,Ain't It Strange,relaxed
609,Dr. Dog,Where'd All The Time Go?,sad
610,Drive-By Truckers,Everybody Needs Love,happy
611,Dropkick Murphys,Peg O' My Heart,happy
612,Duane Stephenson,Cottage In Negril,relaxed
613,Duffy,Rockferry,relaxed
614,Dum Dum Girls,I Will Be,relaxed
615,Duncan Dhu,En Algun Lugar,sad
616,Duran Duran,A View To A Kill,angry
617,Duran Duran,I Don't Want Your Love,happy
618,Dwight Yoakam,Ain't That Lonely Yet,sad
619,Dwight Yoakam,Honky Tonk Man,relaxed
620,Dwight Yoakam,Please Please Baby,relaxed
621,Earl Thomas Conley,I Can't Win For Losin' You,happy
622,"Earth, Wind & Fire",Evil,angry
623,Eastmountainsouth,Mark's Song,relaxed
624,Echo & The Bunnymen,People Are Strange,sad
625,Echo & The Bunnymen,Shroud Of Turin,happy
626,Echoing Angels,God Bless Us,relaxed
627,Ed Bruce,The Last Cowboy Song,sad
628,Ed Bruce,You're The Best Break This Old Heart Ever Had,happy
629,Eddie Holman,Hey There Lonely Girl,sad
630,Eddie Kendricks,Intimate Friends,happy
631,Eddie Money,Think I'm In Love,happy
632,Eddie Money,Think I'm in Love,happy
633,Eddie Rabbitt,You And I,happy
634,Editors,No Sound But The Wind,angry
635,Ednita Nazario,Sobrevivo,sad
636,Edward Sharpe & The Magnetic Zeros,Home,relaxed
637,Edwin Starr,War,angry
638,Egypt Central,You Make Me Sick,sad
639,Eisley,Sad,sad
640,El Guincho,Lycra Mistral,sad
641,Elbow,With Love,happy
