Index,Artist,Song,Emotion
ML124,Falco,Rock Me Amadeus,angry
ML125,The Fixx,Saved By Zero,happy
ML126,Gino Vannelli,Living Inside Myself,angry
ML127,Aretha Franklin,Respect,relaxed
ML128,Melissa Etheridge,I'm The Only One,angry
ML129,Fleetwood Mac,Go Your Own Way,sad
ML130,Andy Kim,Rock Me Gently,relaxed
ML131,The Bee Gees,Lonely Days,sad
ML132,Rod Stewart,Passion,happy
ML133,U2,Pride ,happy
ML134,Janet Jackson,Nasty,sad
ML135,Howard Jones,What Is Love?,happy
ML136,Sheryl Crow,A Change Would Do You Good,relaxed
ML137,The Thompson Twins,King For A Day,happy
ML138,.38 Special,Second Chance,happy
ML139,Depeche Mode,Strangelove,angry
ML140,Kajagoogoo,Too Shy,sad
ML141,The Flying Lizards,Money ,happy
ML142,Kenny Loggins,Danger Zone,angry
ML143,Eddie Money,Think I'm In Love,happy
ML144,Donna Summer,Bad Girls,sad
ML145,John Cougar Mellencamp,Authority Song,angry
ML146,Aerosmith,Janie's Got A Gun,angry
ML147,The Motels,Only The Lonely,sad
ML148,Edwin Starr,War,angry
ML149,Tesla,Love Song,happy
ML150,Andrew Gold,Lonely Boy,sad
ML151,Madonna,Angel,relaxed
ML152,Duran Duran,I Don't Want Your Love,happy
ML153,Alias,More Than Words Can Say,relaxed
ML154,Mr. Mister,Is It Love,happy
ML155,Right Said Fred,I'm Too Sexy,happy
ML156,John Mellencamp,Lonely Ol' Night,sad
ML157,Kenny Loggins,Whenever I Call You Friend ,happy
ML158,The Pointer Sisters,Fire,angry
ML159,Duran Duran,A View To A Kill,angry
ML160,Seals & Crofts,Diamond Girl,relaxed
ML161,April Wine,Just Between You And Me,happy
ML162,Paul McCartney & Wings,My Love,happy
ML163,Nelly Furtado,I'm Like A Bird,relaxed
ML164,The Beatles,Can't Buy Me Love,happy
ML165,Lita Ford,Kiss Me Deadly,happy
ML166,The Trammps,Disco Inferno,angry
ML167,Killswitch Engage,This Fire Burns,angry
ML168,Atreyu,Lip Gloss And Black,angry
ML169,Alkaline Trio,Burn,angry
ML170,Demon Hunter,Lifewar,angry
ML171,Hot Hot Heat,Bandages,sad
ML172,Buzzcocks,Love You More,happy
ML173,Social Distortion,Ring Of Fire,angry
ML174,Streetlight Manifesto,Sick And Sad,sad
ML175,Reel Big Fish,The Fire,angry
ML176,Limp Bizkit,Take A Look Around,angry
ML177,Rancid,The Bravest Kids,angry
ML178,The Clash,White Riot,angry
ML179,Me First & The Gimme Gimmes,Over The Rainbow,relaxed
ML180,The Winans,Uphold Me,happy
ML181,Donnie McClurkin,We Fall Down,sad
ML182,Tonex,God Has Not 4got,happy
ML183,Jonathan Nelson,My Name Is Victory ,happy
ML184,Tamela Mann,Joy Of The Lord,happy
ML185,CeCe Winans,Waging War,angry
ML186,Juanita Bynum,Peace,relaxed
ML187,Vanessa Bell Armstrong,Desire Of My Heart,happy
ML188,B.B. King,The Thrill Is Gone,happy
ML189,The Art Of Noise,Moments In Love,happy
ML190,Norah Jones,Chasing Pirates,sad
ML191,Sade,Never As Good As The First Time,relaxed
ML192,Chaka Khan,Through The Fire,angry
ML193,Alicia Keys,Fallin',happy
ML194,Sade,I Couldn't Love You More,happy
ML195,Sting,It's Probably Me,angry
ML196,Go West,What You Won't Do For Love,happy
ML197,Robin Thicke,Lost Without U,happy
ML198,Sade,No Ordinary Love,happy
ML199,Luther Vandross,Any Love,happy
ML200,Sade,Kiss Of Life,happy
ML201,Jason Mraz,Lucky ,happy
ML202,Kenny G,What A Wonderful World ,relaxed
ML203,Bobby Caldwell,What You Won't Do For Love,happy
ML204,Dave Matthews Band,Crash Into Me,angry
ML205,Michael Buble,Home,relaxed
ML206,Anita Baker,Same Ole Love ,happy
ML207,Enya,Caribbean Blue,relaxed
ML208,Natalie Cole,This Will Be,happy
ML209,Avenged Sevenfold,Scream,angry
ML210,Metallica,Holier Than Thou,sad
ML211,Hail The Villain,Take Back The Fear,angry
ML212,Sick Puppies,Street Fighter ,angry
ML213,Flyleaf,I'm So Sick,sad
ML214,Nirvana,You Know You're Right,angry
ML215,Three Days Grace,Home,relaxed
ML216,Three Days Grace,Animal I Have Become,angry
ML217,Breaking Benjamin,Until The End,angry
ML218,Disturbed,The Game,angry
ML219,Metallica,Seek And Destroy,angry
ML220,Red,Death Of Me,sad
ML221,The Prodigy,Breathe,angry
ML222,Smashing Pumpkins,Disarm,angry
ML223,Soundgarden,Rusty Cage,sad
ML224,Silverchair,Tomorrow,sad
ML225,Rage Against The Machine,Bombtrack,angry
ML226,Taio Cruz,Dirty Picture ,sad
ML227,Baby Bash,That's How I Go ,relaxed
ML228,Baby Bash,Cyclone ,angry
ML229,Baby Bash,Fantasy Girl ,relaxed
ML230,Ivory Joe Hunter,Since I Met You Baby,happy
ML231,Whitney Houston,I Will Always Love You,happy
ML232,Shop Boyz,Party Like A Rock Star,happy
ML233,Lady Gaga,LoveGame,happy
ML234,Mary J. Blige,Real Love,happy
ML235,Chamillionaire,Ridin ,sad
ML236,Keith Sweat,Nobody ,happy
ML237,Juvenile,Slow Motion ,sad
ML238,Mary Wells,What Love Has Joined Together,happy
ML239,Fidel Rueda,Me Encantaria,sad
ML240,Palomo,No Me Conoces Aun,sad
ML241,Los Pikadientes De Caborca,La Cumbia Del Rio,sad
ML242,K-Paz De La Sierra,Volvere,sad
ML243,Chalino Sanchez,Cuatro Espadas,sad
ML244,Banda El Recodo,Pena Tras Pena,sad
ML245,Los Cadetes De Linares,Las Tres Tumbas,sad
ML246,Los Temerarios,Al Otro Lado Del Sol,sad
ML247,Chalino Sanchez,Baraja De Oro ,sad
ML248,Eric Church,Love Your Love The Most,happy
ML249,Tim McGraw,It's Your Love ,happy
ML250,Temple Of The Dog,Hunger Strike,sad
ML251,Eric Clapton,Cocaine,angry
ML252,Soul For Real,Candy Rain,relaxed
ML253,Tank,Sex Music,happy
ML254,Matt Redman,This Is How We Know,happy
ML255,Big Daddy Weave,Just The Way I Am,happy
ML256,Point Of Grace,All The World,relaxed
ML257,Steven Curtis Chapman,All About Love,happy
ML258,Chris Tomlin,Our God,happy
ML259,Steven Curtis Chapman,Not Home Yet,relaxed
ML260,Digital Underground,Kiss You Back,happy
ML261,Mark Ronson,Bang Bang Bang ,sad
ML262,Sting,I Hung My Head,sad
ML263,Carrie Rodriguez,Big Love,happy
ML264,The Secret Sisters,The One I Love Is Gone,relaxed
ML265,Shelby Lynne,Family Tree,sad
ML266,Ra Ra Riot,Foolish,sad
ML267,Nitin Sawhney,Sunset,relaxed
ML268,Sidewalk Prophets,You Can Have Me,happy
ML269,Rebecca St. James,Song Of Love,happy
ML270,Aaron Shust,My Savior My God,happy
ML271,By The Tree,Beautiful One,happy
ML272,Josh Wilson,Before The Morning,angry
ML273,Aaron Shust,Give Me Words To Speak,relaxed
ML274,Jeremy Camp,Take You Back,angry
ML275,Jeremy Camp,Beautiful One,happy
ML276,Rich Mullins,Awesome God,happy
ML277,City On A Hill,God Of Wonders,relaxed
ML278,"Phillips, Craig & Dean",Friend Of God,happy
ML279,Third Day,I've Always Loved You,happy
ML280,Building 429,I Believe ,happy
ML281,DecembeRadio,Love Can,happy
ML282,Avalon,Testify To Love,relaxed
ML283,Sonicflood,I Could Sing Of Your Love Forever,happy
ML284,Nichole Nordeman,Time After Time ,sad
ML285,Marco Antonio Solis,Si No Te Hubieras Ido,sad
ML286,La Sonora Dinamita,Que Nadie Sepa Mi Sufrir,sad
ML287,Grupo Bryndis,Por Estar Pensando En Ti,sad
ML288,Juan Gabriel,Pero Que Necesidad,sad
ML289,Bronco,Oficialmente Loco,sad
ML290,Los Pasteles Verdes,El Solitario,sad
ML291,Ana Barbara,Bandido,sad
ML292,Joan Sebastian,Rumores ,sad
ML293,Jose Jose,Lo Dudo,sad
ML294,Los Mier,Te Amo,sad
ML295,Camilo Sesto,Tarde O Temprano,sad
ML296,Marco Antonio Solis,Amor En Silencio,sad
ML297,Vicente Fernandez,El Rey,sad
ML298,Los Humildes,Vestido Mojado,sad
ML299,Los Bukis,Que Mala,sad
ML300,Joan Sebastian,El Perdedor,sad
ML301,La Mafia,Me Estoy Enamorando,sad
ML302,Banda Machos,Al Gato Y Al Raton,sad
ML303,Joan Sebastian,Sentimental,sad
ML304,Palomo,Baraja De Oro,sad
ML305,The Bee Gees,Night Fever,sad
ML306,Deniece Williams,It's Gonna Take A Miracle,happy
ML307,Wings,Silly Love Songs,happy
ML308,Faith Hill,This Kiss,happy
ML309,Daryl Hall & John Oates,Kiss On My List,happy
ML310,Celine Dion,My Heart Will Go On,happy
ML311,Cher,Believe,happy
ML312,Backstreet Boys,I Want It That Way,angry
ML313,Lil Wayne,On Fire,angry
ML314,Kylie,All The Lovers,angry
ML315,Chromeo,Don't Turn The Lights On,sad
ML316,Rockell,In A Dream,happy
ML317,Infernal,From Paris To Berlin,happy
ML318,Ministry,Everyday Is Halloween,angry
ML319,Ferry Corsten,Fire,angry
ML320,Yves Larock,Rise Up,relaxed
ML321,Angel City,Love Me Right ,happy
ML322,MercyMe,Bless Me Indeed,relaxed
ML323,Aaron Shust,Watch Over Me,sad
ML324,Pocket Full Of Rocks,Song To The King,happy
ML325,The Museum,Never Look Away,angry
ML326,Brandon Heath,Love Never Fails,happy
ML327,Above The Golden State,I'll Love You So,happy
ML328,Jars Of Clay,They'll Know We Are Christians By Our Love,happy
ML329,Mark Schultz,Love Has Come,happy
ML330,Robbie Seay Band,Song Of Hope ,happy
ML331,Matt Brouwer,Sometimes,angry
ML332,Third Day,I Believe,happy
ML333,Fee,Glory To God Forever,happy
ML334,Sade,Somebody Already Broke My Heart,angry
ML335,Al Green,I'm Still In Love With You,happy
ML336,Phil Collins,Another Day In Paradise,relaxed
ML337,Jonathan Butler,So Strong,happy
ML338,The Cardigans,Lovefool,happy
ML339,Ryan Star,Start A Fire,angry
ML340,Dido,Hunter,relaxed
ML341,R.E.M.,Shiny Happy People,happy
ML342,Evanescence,My Immortal,angry
ML343,Michelle Branch,All You Wanted,sad
ML344,Tonic,You Wanted More,happy
ML345,Fontella Bass,Rescue Me,happy
ML346,The Beach Boys,Wouldn't It Be Nice,relaxed
ML347,Three Dog Night,An Old Fashioned Love Song,happy
ML348,The Beatles,Here Comes The Sun,relaxed
ML349,Billy Joel,Uptown Girl,relaxed
ML350,The Beatles,Love Me Do ,happy
ML351,The Beatles,In My Life,happy
ML352,The Beatles,All You Need Is Love,happy
ML353,Johnny Nash,I Can See Clearly Now,relaxed
ML354,Three Dog Night,Joy To The World,happy
ML355,Ringo Starr,It Don't Come Easy,relaxed
ML356,Shontelle,Perfect Nightmare,angry
ML357,Ke$ha,Your Love Is My Drug,happy
ML358,Shenandoah,I Want To Be Loved Like That,happy
ML359,George Strait,Baby Blue,relaxed
ML360,Porter Wagoner,"Green, Green Grass Of Home",relaxed
ML361,John Anderson,Wild And Blue,relaxed
ML362,Merle Haggard,Rainbow Stew,relaxed
ML363,Juice Newton,Angel Of The Morning,relaxed
ML364,Randy Travis,If I Didn't Have You,sad
ML365,Johnny Cash,Ring Of Fire,angry
ML366,Willie Nelson,Always On My Mind,relaxed
ML367,Dwight Yoakam,Honky Tonk Man,relaxed
ML368,Mark Chesnutt,Brother Jukebox,relaxed
ML369,Cavo,Blame,sad
ML370,Sammy Hagar,I Don't Need Love,happy
ML371,Alice Cooper,School's Out,sad
ML372,Kiss,Do You Love Me?,happy
ML373,Led Zeppelin,Nobody's Fault But Mine,sad
ML374,ZZ Top,Blue Jean Blues,relaxed
ML375,Thirty Seconds To Mars,This Is War,angry
ML376,311,Lovesong,happy
ML377,Marilyn Manson,Tainted Love,happy
ML378,Muse,Supermassive Black Hole,sad
ML379,Three Days Grace,Pain,angry
ML380,The Cult,Fire Woman,angry
ML381,Nirvana,Polly,sad
ML382,Stone Temple Pilots,Unglued,sad
ML383,Jimmy Eat World,Pain,angry
ML384,Blink-182,I Miss You,sad
ML385,Cake,Sick Of You,sad
ML386,Metric,Eclipse ,angry
ML387,Cake,War Pigs,angry
ML388,Marilyn Manson,The Fight Song,angry
ML389,Muse,Map Of The Problematique,sad
ML390,The Temptations,I Want A Love I Can See,happy
ML391,Alejandro Fernandez,Matalas,sad
ML392,Mary J. Blige,I Love You,happy
ML393,Liquits,Desde Que,sad
ML394,Pedro Infante,Luna De Octubre,sad
ML395,Bobby Vinton,Mr. Lonely,sad
ML396,Tommy James & The Shondells,Crystal Blue Persuasion,relaxed
ML397,Victor Manuelle,Nunca Habia Llorado Asi ,sad
ML398,Ian Van Dahl,Will I,happy
ML399,Kosheen,Hide U,angry
ML400,Ronnie Milsap,Stranger In My House,relaxed
ML401,Hank Williams,Your Cheatin' Heart,relaxed
ML402,Mark Chesnutt,Your Love Is A Miracle,happy
ML403,Dolly Parton,Real Love,happy
ML404,Patty Loveless,I'm That Kind Of Girl,relaxed
ML405,The Marshall Tucker Band,Heard It In A Love Song,happy
ML406,T. Graham Brown,I Tell It Like It Used To Be,happy
ML407,Marty Stuart,Burn Me Down,angry
ML408,George Strait,Let's Fall To Pieces Together,sad
ML409,Sammi Smith,Help Me Make It Through The Night,sad
ML410,Dolly Parton,Love Is Like A Butterfly,relaxed
ML411,Dolly Parton,I Will Always Love You,happy
ML412,Emmylou Harris,Queen Of The Silver Dollar,relaxed
ML413,Earl Thomas Conley,I Can't Win For Losin' You,happy
ML414,Charley Pride,Kiss An Angel Good Mornin',happy
ML415,The Judds,Love Can Build A Bridge,happy
ML416,Jack Ingram,Mustang Burn,angry
ML417,George Strait,VERO,relaxed
ML418,Vince Gill,When I Call Your Name,sad
ML419,Alabama,Old Flame,angry
ML420,Dwight Yoakam,Please Please Baby,relaxed
ML421,Eddie Rabbitt,You And I,happy
ML422,Dwight Yoakam,Ain't That Lonely Yet,sad
ML423,Jonatha Brooke,Little Bird,relaxed
ML424,Quincy Jones,Killer Joe,sad
ML425,Roberta Flack & Donny Hathaway,Where Is The Love,happy
ML426,Jon B.,Someone To Love ,happy
ML427,Jack Ingram,Love You,happy
ML428,Taylor Dayne,I'll Always Love You,happy
ML429,Santana,Whole Lotta Love ,happy
ML430,Soundgarden,Let Me Drown,angry
ML431,Alice Cooper,Poison,angry
ML432,Dokken,Alone Again,sad
ML433,Iron Maiden,Phantom Of The Opera,sad
ML434,Scorpions,Animal Magnetism,happy
ML435,Black Sabbath,The Devil Cried,angry
ML436,The Who,Long Live Rock,sad
ML437,Led Zeppelin,Bring It On Home,relaxed
ML438,Scorpions,Coming Home,relaxed
ML439,Brian McKnight,Love Of My Life,happy
ML440,Lionel Richie,Penny Lover,happy
ML441,Lisa Stansfield,Change,happy
ML442,Celine Dion,Love Can Move Mountains,happy
ML443,Jah Cure,Love Is,happy
ML444,Jody Watley,Looking For A New Love,happy
ML445,Bobby Darin,Dream Lover,relaxed
ML446,The Archies,"Sugar, Sugar",relaxed
ML447,Gwen Mccrae,Rockin' Chair,relaxed
ML448,Whitney Houston,You Give Good Love,happy
ML449,Paul Anka,Puppy Love,happy
ML450,Harold Melvin & The Blue Notes,Don't Leave Me This Way,happy
ML451,Gyptian,Beautiful Lady,relaxed
ML452,Bob Marley & The Wailers,So Much Trouble In The World,angry
ML453,Donna Summer,Love To Love You Baby,happy
ML454,Donna Summer,I Feel Love,happy
ML455,New Edition,Lost In Love,happy
ML456,Duane Stephenson,Cottage In Negril,relaxed
ML457,Beyonce,Dangerously In Love,happy
ML458,Rihanna,Russian Roulette,angry
ML459,Michael Jackson,Gone Too Soon,relaxed
ML460,Shania Twain,From This Moment On,relaxed
ML461,Julio Iglesias,My Love,happy
ML462,"Phillips, Craig & Dean",You Are God Alone,happy
ML463,Matt Brouwer,"Father, I Adore You",happy
ML464,Counting Crows,Accidentally In Love,happy
ML465,Fistful Of Mercy,Father's Son,sad
ML466,Greg Laswell,Take Everything ,relaxed
ML467,A Flock Of Seagulls,Space Age Love Song,happy
ML468,Peter Gabriel,Shock The Monkey,sad
ML469,Los Tigres Del Norte,Jose Perez Leon,sad
ML470,The Beatles,P.S. I Love You,happy
ML471,Portugal. The Man,People Say,angry
ML472,Concrete Blonde,Joey,angry
ML473,Bruce Springsteen,I'm On Fire,angry
ML474,Sufjan Stevens,Vesuvius,angry
ML475,Fastball,Out Of My Head,sad
ML476,Dire Straits,So Far Away,relaxed
ML477,Train,Cab,sad
ML478,Blind Faith,Can't Find My Way Home,relaxed
ML479,Dave Matthews Band,Everyday,happy
ML480,Pete Droge & The Sinners,Beautiful Girl,relaxed
ML481,Roxy Music,Jealous Guy,angry
ML482,Shawn Colvin,Get Out Of This House,relaxed
ML483,U2,Window In The Skies,happy
ML484,Mark Schultz,Love Has Come,happy
ML485,Sidewalk Prophets,You Can Have Me,happy
ML486,Josh Wilson,Before The Morning,angry
ML487,Brandon Heath,Your Love,happy
ML488,Jeremy Camp,Take You Back,angry
ML489,Third Day,God Of Wonders,relaxed
ML490,The Georgia Mass Choir,Joy,happy
ML491,Stevie Wonder,Lookin' For Another Pure Love,happy
ML492,Jody Watley,Real Love,happy
ML493,Chet Baker,Let's Get Lost,angry
ML494,Nina Simone,Feeling Good,relaxed
ML495,Mel Torme,Comin' Home Baby,relaxed
ML496,Freddie Hubbard,Red Clay,happy
ML497,Cassandra Wilson,Time After Time,sad
ML498,Patrice Rushen,Remind Me,happy
ML499,Curtis Mayfield,Give Me Your Love ,happy
ML500,Chayanne,Tu Boca,sad
ML501,Jeremias,Hay Un Amor Afuera,sad
ML502,David Bisbal,Esclavo De Sus Besos,sad
ML503,Darlene Zschech,Call Upon His Name ,relaxed
ML504,Aaron Shust,To God Alone,happy
ML505,Laura Story,What A Savior,happy
ML506,Darrell Evans,Trading My Sorrows,angry
ML507,Newsong,My Heart's Already There,happy
ML508,Britt Nicole,The Lost Get Found,angry
ML509,Jadon Lavik,Hear Our Song,happy
ML510,The Afters,All That I Am,happy
ML511,Todd Agnew,Joy Unspeakable,happy
ML512,Norman Hutchins,Get Ready For Your Miracle,happy
ML513,Diana Krall,You're My Thrill,happy
ML514,Jonathan Butler,Color Green,relaxed
ML515,John Coltrane,Acknowledgement,happy
ML516,Seether,Driven Under,angry
ML517,Soundgarden,Rhinosaur,sad
ML518,Metallica,Fight Fire With Fire,angry
ML519,Deftones,You've Seen the Butcher,sad
ML520,Velvet Revolver,Fall To Pieces,sad
ML521,Puddle Of Mudd,Away From Me,angry
ML522,Staind,Home,angry
ML523,Pearl Jam,Glorified G,angry
ML524,Alex Bueno,Que Vuelva,sad
ML525,Los Iracundos,Y Te Has Quedado Sola,sad
ML526,Moenia,Ni Tu Ni Nadie,sad
ML527,David Guetta,On The Dancefloor ,angry
ML528,Los Cadetes De Linares,El Palomito,sad
ML529,La Oreja De Van Gogh,Vestido Azul,sad
ML530,Paulina Rubio,Algo De Ti,sad
ML531,Fred Hammond & Radical For Christ,I Will Bless His Holy Name,relaxed
ML532,Whitney Houston,Joy ,happy
ML533,Israel & New Breed,Friend Of God,happy
ML534,Micah Stampley,War Cry,angry
ML535,Gary Wright,Love Is Alive,happy
ML536,Scissor Sisters,Fire With Fire,angry
ML537,The Drifters,Some Kind Of Wonderful,relaxed
ML538,J. Moss,Abundantly,relaxed
ML539,Phil Perry,Love Don't Love Nobody,happy
ML540,Cherrelle,Everything I Miss At Home,relaxed
ML541,The Ohio Players,Love Rollercoaster,happy
ML542,The Staple Singers,Respect Yourself,relaxed
ML543,Clyde McPhatter,Lover Please,sad
ML544,The Jackson 5,Maybe Tomorrow,relaxed
ML545,The Blackbyrds,Walking In Rhythm,relaxed
ML546,Shalamar,Take That To The Bank,happy
ML547,Maze,Love Is The Key ,relaxed
ML548,Gerald Levert,Baby Hold On To Me,relaxed
ML549,Maxwell,Fortunate,relaxed
ML550,Eddie Kendricks,Intimate Friends,happy
ML551,Teena Marie,Young Love,happy
ML552,Ledisi,In The Morning,happy
ML553,Miki Howard,Come Share My Love,happy
ML554,Smokey Robinson,I Can't Give You Anything But Love,happy
ML555,George Benson,Don't Let Me Be Lonely Tonight,sad
ML556,Natalie Cole,Our Love,happy
ML557,Jimmy Sommers,If I Knew ,angry
ML558,Kindred The Family Soul,House Of Love,relaxed
ML559,Anita Baker,Angel,relaxed
ML560,Usher,Burn,angry
ML561,Waka Flocka Flame,Bustin' At 'Em,sad
ML562,Wavves,Mickey Mouse,sad
ML563,Suuns,Organ Blues,happy
ML564,The Apples In Stereo,Dream About The Future,relaxed
ML565,Bob Marley & The Wailers,Small Axe,sad
ML566,Waking The Cadaver,Boss Status,angry
ML567,Jah Cure,Troddin The Valley,angry
ML568,Bonnie 'Prince' Billy,Love Comes To Me,happy
ML569,Clap Your Hands Say Yeah,In This Home On Ice,sad
ML570,No Age,Fever Dreaming,sad
ML571,Grizzly Bear,Knife,angry
ML572,Out Hud,It's For You,sad
ML573,Hot Snakes,Braintrust,relaxed
ML574,Gravenhurst,The Velvet Cell,angry
ML575,Jemina Pearl,I Hate People ,angry
ML576,Asobi Seksu,Thursday,sad
ML577,Someone Still Loves You Boris Yeltsin,In Pairs,happy
ML578,Living Sacrifice,The Training,angry
ML579,Elliott Smith,Let's Get Lost,angry
ML580,Spank Rock,What It Look Like,sad
ML581,Stacey Kent,What A Wonderful World,relaxed
ML582,Frank Sinatra,My Kind Of Girl,relaxed
ML583,Ted Weems,Heartaches,happy
ML584,Rosemary Clooney,Come On-A My House,relaxed
ML585,Tommy Dorsey & His Orchestra,I'll Never Smile Again ,happy
ML586,Billie Holiday,Nice Work If You Can Get It,relaxed
ML587,Nat King Cole,Too Young,happy
ML588,Frank Sinatra,Nice 'N' Easy,relaxed
ML589,Nat King Cole,The Very Thought Of You ,relaxed
ML590,Escape The Fate,Issues,sad
ML591,Garbage,Stupid Girl,sad
ML592,Alkaline Trio,This Addiction,sad
ML593,Radiohead,Just,sad
ML594,Deftones,Minerva,relaxed
ML595,Sublime,Jailhouse,angry
ML596,Against Me!,I Was A Teenage Anarchist,angry
ML597,Sade,Love Is Stronger Than Pride,happy
ML598,Bruce Hornsby,Walk In The Sun,relaxed
ML599,Brian McKnight,Crazy Love,happy
ML600,Lionel Richie,You Are,happy
