"Index","Artist","Title","Mood"
"ML128","Guided by Voices","Don't Stop Now","sad"
"ML129","The Adicts","Chinese Takeaway","happy"
"ML130","JoÃƒÂ£o Gilberto","Chega De Saudade","relaxed"
"ML131","DJ Sammy","The Boys Of Summer","happy"
"ML132","Stephen Lynch","For The Ladies","happy"
"ML133","Howard Jones","Things Can Only Get Better","happy"
"ML134","New Order","Crystal","happy"
"ML135","DMX","We in Here","angry"
"ML136","JaromÃƒÂ­r Nohavica","JeÃ…Â¡tÃ„Â› mi schÃƒÂ¡zÃƒÂ­Ã…Â¡","sad"
"ML137","Maria Taylor","Two Of Those Too (Album Version)","relaxed"
"ML138","Atlas Sound","River Card","relaxed"
"ML139","Tiger Lou","The Wake/Hooray Hooray","relaxed"
"ML140","Donald Byrd","Think Twice","relaxed"
"ML141","of Montreal","Touched Something's Hollow","sad"
"ML142","Charlotte Church","Show A Little Faith","relaxed"
"ML143","Bob Dylan","One Of Us Must Know (Sooner Or Later)","sad"
"ML144","Mickey & Sylvia","Love Is Strange","happy"
"ML145","Sarah Blasko","The Woman By The Well","relaxed"
"ML146","Lily Allen","Not Fair","happy"
"ML147","Sade","Cherish The Day","relaxed"
"ML148","Tanya Stephens","It's A Pity","happy"
"ML149","Black Sabbath","Sabbath Bloody Sabbath","angry"
"ML150","AC/DC","Flick of the Switch","angry"
"ML151","Violent Femmes","It's Gonna Rain","happy"
"ML152","Sepultura","Territory","angry"
"ML153","Conway Twitty","That's My Job","sad"
"ML154","Black Flag","Police Story","angry"
"ML155","Nine Inch Nails","Every Day Is Exactly The Same","sad"
"ML156","Daniel Lanois","Sometimes","relaxed"
"ML157","The Supremes","Love Is Like An Itching In My Heart","happy"
"ML158","Babyshambles","Killamangiro","happy"
"ML159","Stabbing Westward","Drowning","sad"
"ML160","City and Colour","Save Your Scissors","relaxed"
"ML161","Anthrax","Among the Living","angry"
"ML162","Slayer","War Zone","angry"
"ML163","Cassandra Wilson","If Loving You Is Wrong","relaxed"
"ML164","As I Lay Dying","An Ocean Between Us","angry"
"ML165","Avenged Sevenfold","Nightmare","angry"
"ML166","ElectroVamp","I Don't Like The Vibe In The VIP","happy"
"ML167","Alice in Chains","Sludge Factory","sad"
"ML168","Megadeth","Psychotron","angry"
"ML169","Shakira","Un Poco De Amor","happy"
"ML170","Nick Cave and the Bad Seeds","Oh My Lord","sad"
"ML171","Natalie Merchant","Just Can't Last","relaxed"
"ML172","Silversun Pickups","Booksmart Devil","relaxed"
"ML173","The Mountain Goats","No Children","sad"
"ML174","Britney Spears","If U Seek Amy","happy"
"ML175","O-Zone","Dragostea Din Tei","happy"
"ML176","Ozzy Osbourne","Suicide Solution","angry"
"ML177","Sheb Wooley","The Purple People Eater","happy"
"ML178","Enzo Jannacci","Ho Visto Un Re","happy"
"ML179","Megadeth","Dread and the Fugitive Mind","angry"
"ML180","Jack Johnson","Hope","relaxed"
"ML181","Jane Monheit","More Than You Know","relaxed"
"ML182","Rage Against the Machine","How I Could Just Kill A Man","angry"
"ML183","Jimi Hendrix Experience","Fire","angry"
"ML184","Marilyn Monroe","I Wanna Be Loved By You","happy"
"ML185","Burial","Distant Lights","sad"
"ML186","Lykke Li","Sadness Is a Blessing","sad"
"ML187","Carrie Underwood","I Told You So","sad"
"ML188","Scissor Sisters","Lights","happy"
"ML189","Lenny Kravitz","Will You Marry Me","happy"
"ML190","Queensryche","The Needle Lies","angry"
"ML191","My Dying Bride","The Cry of Mankind","sad"
"ML192","Miley Cyrus","7 Things","happy"
"ML193","Juana Molina","Vaca que cambia de querencia","relaxed"
"ML194","K's Choice","If You're Not Scared","sad"
"ML195","Mylo","Sunworshipper","relaxed"
"ML196","Jamie Cullum","Singin' In The Rain","relaxed"
"ML197","Wire","I Am the Fly","angry"
"ML198","Ricky Martin","Livin' La Vida Loca","happy"
"ML199","Soundgarden","Limo Wreck","sad"
"ML200","Sopor Aeternus & The Ensemble Of Shadows","Bitter Sweet","sad"
"ML201","Blue ÃƒÂ–yster Cult","Nosferatu","angry"
"ML202","Five Iron Frenzy","My Evil Plan To Save The World","happy"
"ML203","Violent Femmes","I Know It's True but I'm Sorry to Say","sad"
"ML204","Tenacious D","Kielbasa","happy"
"ML205","Saosin","Sleepers","angry"
"ML206","Anthrax","Potters Field","angry"
"ML207","Aimee Mann","Little Bombs","sad"
"ML208","Chevelle","The Red","angry"
"ML209","Jason Collett","Blue Sky","relaxed"
"ML210","LCD Soundsystem","All My Friends (John Cale's Version)","sad"
"ML211","Sandy Denny","Bushes And Briars","sad"
"ML212","Marcy Playground","Punk Rock Superstar","happy"
"ML213","Emilie Simon","Le Vieil Amant","relaxed"
"ML214","Pink Turns Blue","Your Master Is Calling","sad"
"ML215","IVY","Clear My Head","relaxed"
"ML216","Tom Petty And The Heartbreakers","American Girl","happy"
"ML217","Etta James","A Sunday Kind Of Love","relaxed"
"ML218","Mud","Lonely This Christmas","sad"
"ML219","Queens Of The Stone Age","Everybody Knows That You Are Insane","angry"
"ML220","The Gathering","These Good People","sad"
"ML221","The Fratellis","Cuntry Boys & City Girls","happy"
"ML222","Molotov","Puto","happy"
"ML223","Victoria Beckham","I Wish","happy"
"ML224","Ours","Dizzy","sad"
"ML225","The Blackbyrds","Walking In Rhythm","happy"
"ML226","Tori Amos","Velvet Revolution","sad"
"ML227","Doors","Break on Through (To the Other Side)","angry"
"ML228","Megadeth","FFF","angry"
"ML229","Camper Van Beethoven","Good Guys & Bad Guys","happy"
"ML230","Slayer","Spirit in Black","angry"
"ML231","theaudience","Keep In Touch","relaxed"
"ML232","Belle and Sebastian","Roy Walker","happy"
"ML233","Lamb of God","As the Palaces Burn","angry"
"ML234","New York Dolls","Personality Crisis","angry"
"ML235","Suicide Silence","Unanswered","angry"
"ML236","The Dodos","It's That Time Again","sad"
"ML237","Diamanda GalÃƒÂ¡s","Deliver Me From Mine Enemies","angry"
"ML238","Cream","We're Going Wrong","sad"
"ML239","IVY","Edge of the Ocean","relaxed"
"ML240","The Stooges","Your Pretty Face Is Going to Hell","angry"
"ML241","Eagle-Eye Cherry","Worried Eyes","relaxed"
"ML242","Bic Runga","It's Over","sad"
"ML243","Amber Pacific","Poetically Pathetic (Acoustic)","sad"
"ML244","Goldfrapp","Lovely 2 C U","happy"
"ML245","""Weird Al"" Yankovic","The Night Santa Went Crazy","happy"
"ML246","His Name Is Alive","Are We Still Married?","sad"
"ML247","Tarkan","Simarik","happy"
"ML248","Juanes","Nada Valgo Sin Tu Amor","happy"
"ML249","Lupe Fiasco","Kick, Push","relaxed"
"ML250","Kaiser Chiefs","Thank You Very Much","happy"
"ML251","Throwing Muses","Counting Backwards","angry"
"ML252","Meshuggah","Future Breed Machine","angry"
"ML253","Young Jeezy","I Luv It","angry"
"ML254","Three Days Grace","Burn","angry"
"ML255","Public Enemy","Bring the Noise","angry"
"ML256","Maria Mena","Monday Morning","relaxed"
"ML257","Ice Cube","The Wrong Nigga to Fuck Wit","angry"
"ML258","Alice in Chains","Am I Inside","sad"
"ML259","Monkey","Sandy the River Demon","relaxed"
"ML260","Ray Parker Jr.","Ghostbusters","happy"
"ML261","Children of Bodom","Hate Me!","angry"
"ML262","Detonautas Roque Clube","Olhos Certos","sad"
"ML263","Pixies","Gigantic","happy"
"ML264","Katatonia","Day","sad"
"ML265","Destroyer","Painter in Your Pocket","relaxed"
"ML266","De-Phazz","Belle de Jour","relaxed"
"ML267","Dolores Keane","Never Be the Sun","relaxed"
"ML268","Method Man","Bring the Pain","angry"
"ML269","Lucinda Williams","Those Three Days","sad"
"ML270","Megadeth","Moto Psycho","angry"
"ML271","Delays","Touch Down","relaxed"
"ML272","Scissor Sisters","Laura","happy"
"ML273","Ida Maria","I Like You So Much Better When You're Naked","happy"
"ML274","Cinema Bizarre","Lovesongs (They Kill Me)","sad"
"ML275","Lene Marlin","Leave My Mind","relaxed"
"ML276","Sara Gazarek","You Got By","relaxed"
"ML277","The Black Crowes","Walk Believer Walk","happy"
"ML278","Sly & The Family Stone","Thank You (Falettinme Be Mice Elf Agin)","happy"
"ML279","British Sea Power","The Lonely","sad"
"ML280","Chicane","Autumn Tactics","relaxed"
"ML281","The Sisters Of Mercy","Under the Gun","sad"
"ML282","Audio Bullys","Get Myself on Track","sad"
"ML283","Porcupine Tree","The Sleep of No Dreaming","sad"
"ML284","Jill Cunniff","Lazy Girls","happy"
"ML285","Clannad","Newgrange","relaxed"
"ML286","Franz Ferdinand","Jackie Jackson","happy"
"ML287","Combichrist","The Corps Under My Bed","sad"
"ML288","Richard Marx","Should've Known Better","sad"
"ML289","The Cure","Want","sad"
"ML290","The Lonely Island","I'm on a Boat (feat. T-Pain)","happy"
"ML291","Common","Faithful ","relaxed"
"ML292","The Jacksons","This Place Hotel","sad"
"ML293","Opeth","Dirge for November","sad"
"ML294","Little River Band","It's A Long Way There","relaxed"
"ML295","Rufus Wainwright",11.11,"relaxed"
"ML296","Britney Spears","Break The Ice","happy"
"ML297","Electric Light Orchestra","Midnight Blue","relaxed"
"ML298","The Housemartins","We're Not Deep","happy"
"ML299","Haley Bonar","Blue Ridge Mountains","relaxed"
"ML300","Lene Marlin","Disguise","relaxed"
"ML301","Faithless","One Step Too Far","relaxed"
"ML302","Ayreon","Day One: Vigil","sad"
"ML303","Rainbow","Catch The Rainbow","sad"
"ML304","Lucinda Williams","Greenville","sad"
"ML305","Heather Nova","Heart And Shoulder","relaxed"
"ML306","Krokus","Long Stick Goes Boom","angry"
"ML307","Cake","Mahna, Mahna","happy"
"ML308","She & Him","Sweet Darlin'","happy"
"ML309","Rage Against the Machine","Vietnow","angry"
"ML310","Powerman 5000","Action","angry"
"ML311","The New Pornographers","All For Swinging You Around","happy"
"ML312","Rage Against the Machine","Sleep Now In The Fire","angry"
"ML313","Beatallica","And I'm Evil","happy"
"ML314","Korn","Chi","angry"
"ML315","Brooks & Dunn","Neon Moon","sad"
"ML316","Keri Noble","A Dream About You","relaxed"
"ML317","Aqua","Around The World","happy"
"ML318","My Morning Jacket","Evil Urges","happy"
"ML319","My Bloody Valentine","Nothing Much to Lose","sad"
"ML320","Rage Against the Machine","Wake Up","angry"
"ML321","System of a Down","Chop Suey!","angry"
"ML322","Antimatter","The Freak Show","sad"
"ML323","ERA","Omen Sore","relaxed"
"ML324","Brad Paisley","When I Get Where I'm Going","sad"
"ML325","Megadeth","Victory","angry"
"ML326","Tindersticks","The Not Knowing","sad"
"ML327","Queen","My Baby Does Me","happy"
"ML328","Tim Buckley","Morning Glory","sad"
"ML329","The Gathering","Black Light District","sad"
"ML330","The Rolling Stones","Can You Hear The Music","sad"
"ML331","Little River Band","Reminiscing","relaxed"
"ML332","Alien Sex Fiend","Dead and Buried","angry"
"ML333","Voxtrot","Sway","sad"
"ML334","Foy Vance","Homebird","relaxed"
"ML335","COLD","Rain Song","sad"
"ML336","Bananarama","Cruel Summer","happy"
"ML337","Nick Cave and the Bad Seeds","Still in Love","sad"
"ML338","Jennifer Lopez","Papi","happy"
"ML339","Sally Shapiro","Anorak Christmas","relaxed"
"ML340","Busted","Fun Fun Fun","happy"
"ML341","Slayer","Sex. Murder. Art.","angry"
"ML342","Bullet For My Valentine","4 Words (To Choke Upon)","angry"
"ML343","JosÃƒÂ© GonzÃƒÂ¡lez","Lovestain","relaxed"
"ML344","Corinne Bailey Rae","I Would Like To Call It Beauty","relaxed"
"ML345","Espers","Meadow","relaxed"
"ML346","The Clash","London Calling","angry"
"ML347","MotÃƒÂ¶rhead","Orgasmatron","angry"
"ML348","Norah Jones","Back To Manhattan","sad"
"ML349","Molly Johnson","If You Know Love","relaxed"
"ML350","The Tear Garden","Ophelia","sad"
"ML351","Hole","Letter To God","sad"
"ML352","Megadeth","Washington Is Next!","angry"
"ML353","Enya","Flora's Secret","relaxed"
"ML354","Soft Cell","Sex Dwarf","happy"
"ML355","Dusty Springfield","I Only Want To Be With You","happy"
"ML356","Enigma","Mea Culpa","relaxed"
"ML357","Mae","Sun (acoustic)","relaxed"
"ML358","AC/DC","Highway to Hell","angry"
"ML359","Louis Armstrong","I Still Get Jealous","relaxed"
"ML360","Jump5","Beauty And The Beast","happy"
"ML361","Espers","Flowery Noontide","relaxed"
"ML362","The Black Keys","Your Touch","happy"
"ML363","U2","Elvis Presley and America","sad"
"ML364","Dixie Chicks","Without You","sad"
"ML365","Scissor Sisters","Take Your Mama","happy"
"ML366","Noir DÃƒÂ©sir","7 Minutes","angry"
"ML367","Radiohead","Fitter Happier","sad"
"ML368","Bruce Hornsby","Fields Of Gray","relaxed"
"ML369","Counting Crows","St. Robinson In His Cadillac Dream","relaxed"
"ML370","Novembre","Verne","sad"
"ML371","Franz Ferdinand","Love and Destroy","happy"
"ML372","Vanessa Carlton","Rinse","sad"
"ML373","New Radicals","I Don't Wanna Die Anymore","sad"
"ML374","Hot Hot Heat","This Town","happy"
"ML375","Saliva","Back Into Your System","relaxed"
"ML376","Secondhand Serenade","End","sad"
"ML377","Robert Plant","In The Mood","relaxed"
"ML378","Johnossi","Man Must Dance","happy"
"ML379","Eric Clapton","Reptile","relaxed"
"ML380","Basement Jaxx","Cish Cash ","happy"
"ML381","Ace of Base","Don't Turn Around","happy"
"ML382","Nerf Herder","High School","happy"
"ML383","Tina Turner","Steamy Windows","happy"
"ML384","Sparks","Slowboat","sad"
"ML385","Idlewild","A Modern Way Of Letting Go","angry"
"ML386","Anita Baker","My Funny Valentine","relaxed"
"ML387","Dark Sanctuary","Des Illusions","sad"
"ML388","Eric Church","Lightning","sad"
"ML389","Enya","Less Than a Pearl","relaxed"
"ML390","Pink Floyd","Take Up Thy Stethoscope and Walk","angry"
"ML391","Tim Buckley","Dolphins","sad"
"ML392","The Faint","Paranoiattack","happy"
"ML393","Megadeth","Countdown to Extinction","angry"
"ML394","Tanya Donelly","Keeping You","relaxed"
"ML395","The Cure","The Figurehead","sad"
"ML396","Toni Basil","Mickey","happy"
"ML397","Foo Fighters","Cheer Up, Boys (Your Make Up Is Running)","happy"
"ML398","Ice Cube","Ghetto Vet","angry"
"ML399","Slayer","Necrophiliac","angry"
"ML400","Secret Garden","Sleepsong","relaxed"
"ML401","Billy Talent","Prisoners of Today","angry"
"ML402","Sting","Brand New Day","happy"
"ML403","Slayer","Psychopathy Red","angry"
"ML404","Anita Baker","You Belong To Me","relaxed"
"ML405","Sam Sparro","Pocket","happy"
"ML406","Carla Bruni","Le Ciel Dans Une Chambre","relaxed"
"ML407","Fischerspooner","Tone Poem","relaxed"
"ML408","Bloodhound Gang","Foxtrot Uniform Charlie Kilo","happy"
"ML409","The Cure","One Hundred Years","sad"
"ML410","Faunts","Gone With The Day","relaxed"
"ML411","Kool & The Gang","Celebration","happy"
"ML412","White Zombie","Super-Charger Heaven","angry"
"ML413","Abba","Thank You For The Music","happy"
"ML414","Silbermond","Durch die Nacht","sad"
"ML415","The Cyrkle","The Visit (She Was Here)","relaxed"
"ML416","Prince","Fury","angry"
"ML417","The Corrs","Baby Be Brave (album version)","relaxed"
"ML418","Magnet","Overjoyed","relaxed"
"ML419","Marilyn Manson","A Place In The Dirt","sad"
"ML420","The Rocket Summer","Skies So Blue","happy"
"ML421","Pulp","The Fear","sad"
"ML422","Nicky Wire","Goodbye Suicide","sad"
"ML423","My Dying Bride","Gather Me Up Forever","sad"
"ML424","The Unicorns","Let's Get Known","happy"
"ML425","Coverdale/Page","Take Me For A Little While","sad"
"ML426","Caesars","It's Not The Fall That Hurts","happy"
"ML427","Newsboys","Something Beautiful","happy"
"ML428","Hard 'n Phirm","Pi","happy"
"ML429","Rage Against the Machine","Bulls on Parade","angry"
"ML430","My Dying Bride","A Doomed Lover","sad"
"ML431","Annie","Marie Cherie","sad"
"ML432","Rosenstolz","Sex im Hotel","happy"
"ML433","Cascada","What Do You Want From Me?","happy"
"ML434","Res","Let Love","relaxed"
"ML435","Marillion","The Invisible Man","sad"
"ML436","Afghan Whigs",66,"happy"
"ML437","Susie Suh","Shell","relaxed"
"ML438","Dinosaur Jr.","Not the Same","sad"
"ML439","Shania Twain","I'm Gonna Getcha Good!","happy"
"ML440","Stevie Wonder","Part-Time Lover","happy"
"ML441","Eppu Normaali","Tahroja paperilla","sad"
"ML442","Metallica","Battery","angry"
"ML443","Juana Molina","Son","relaxed"
"ML444","Laura Marling","Your Only Doll (Dora)","relaxed"
"ML445","Three Dog Night","Joy To The World","happy"
"ML446","JAY-Z","I Just Wanna Love U (Give It 2 Me)","happy"
"ML447","Colder","To The Music","happy"
"ML448","Eagles of Death Metal","English Girl","happy"
"ML449","Kris Kross","Jump","happy"
"ML450","Mark Dinning","Teen Angel","sad"
"ML451","Starfucker","Girls Just Want To Have Fun","happy"
"ML452","""Weird Al"" Yankovic","Christmas At Ground Zero","happy"
"ML453","Marius MÃƒÂ¼ller-Westernhagen","Johnny W.","sad"
"ML454","The Acacia Strain","Demolishor","angry"
"ML455","Skinny Puppy","Assimilate","angry"
"ML456","Hope of the States","Me Ves Y Sufres","sad"
"ML457","Rammstein","Nebel","sad"
"ML458","The White Stripes","My Doorbell","happy"
"ML459","AC/DC","Down Payment Blues","angry"
"ML460","Goldfrapp","Utopia","relaxed"
"ML461","Dead Kennedys","Your Emotions","angry"
"ML462","Jim Brickman","Angel Eyes","relaxed"
"ML463","Sarah Blasko","For You","relaxed"
"ML464","Yelle","Je Veux Te Voir (Club-Club Version)","happy"
"ML465","Adema","Rip The Heart Out Of Me","angry"
"ML466","The Romantics","When I Look In Your Eyes","happy"
"ML467","Murderdolls","Dead in Hollywood","angry"
"ML468","Devo","(I Can't Get No) Satisfaction","angry"
"ML469","Exploited","Exploited Barmy Army","angry"
"ML470","Midge Ure","Somebody","sad"
"ML471","Qntal","Remember Me","sad"
"ML472","Bob Dylan","Gotta Serve Somebody","relaxed"
"ML473","Clawfinger","Nothing Going On","angry"
"ML474","Blue Six","Sweeter Love","relaxed"
"ML475","Spiritualized","Let It Flow","relaxed"
"ML476","Alexisonfire","You Burn First","angry"
"ML477","Ice Cube","Dirty Mack","angry"
"ML478","Beastie Boys","Time for Livin'","angry"
"ML479","Loney, dear","Sinister in a State of Hope","relaxed"
"ML480","Kraak & Smaak","Squeeze Me","happy"
"ML481","Violent Femmes","Kiss Off","angry"
"ML482","Bernard Fanning","Shelter For My Soul","sad"
"ML483","Donald Fagen","Morph The Cat","relaxed"
"ML484","Black Flag","Depression","angry"
"ML485","Electric Light Orchestra","Sweet Talkin' Woman","happy"
"ML486","Vanity 6","Nasty Girl","happy"
"ML487","In Flames","Swim","happy"
"ML488","Tom Lehrer","I Wanna Go Back To Dixie","happy"
"ML489","Jack Johnson","Constellations","relaxed"
"ML490","Low","Bright","sad"
"ML491","Stephen Lynch","Baby","happy"
"ML492","Beatallica","Hey Dude","happy"
"ML493","Ministry","Palestina","angry"
"ML494","Marilyn Monroe","You'd Be Surprised","happy"
"ML495","New Model Army","No Mirror, No Shadow","sad"
"ML496","The Cat Empire","Sly","happy"
"ML497","Monkey","The Living Sea","relaxed"
"ML498","Secret Garden","Sigma","relaxed"
"ML499","Luther Vandross","I'd Rather","relaxed"
"ML500","Madredeus","O Pomar Das Laranjeiras","sad"
"ML501","Rocco DeLuca & The Burden","Gift","sad"
"ML502","Pig Destroyer","Piss Angel","angry"
"ML503","Eric Burdon","Don't Let Me Be Misunderstood","angry"
"ML504","Martin Page","In The House Of Stone And Light","relaxed"
"ML505","LCD Soundsystem","On Repeat","happy"
"ML506","Fotos","Katharina","sad"
"ML507","Ephraim Lewis","Drowning In Your Eyes","relaxed"
"ML508","As I Lay Dying","Losing Sight","angry"
"ML509","Suzi Quatro","Devil Gate Drive","happy"
"ML510","Rammstein","Feuer und Wasser","sad"
"ML511","The Concretes","On The Radio","happy"
"ML512","Rage Against the Machine","Ashes In The Fall","angry"
"ML513","The Aquabats","Pool Party","happy"
"ML514","Barry White","Honey Please, Can't Ya See","happy"
"ML515","Megadeth","Use the Man","angry"
"ML516","Mystery Jets","Half In Love With Elizabeth","happy"
"ML517","Hole","Gutless","angry"
"ML518","Atlantic Starr","Silver Shadow","relaxed"
"ML519","Rare Earth","I Just Want To Celebrate","happy"
"ML520","Jon & Vangelis","He Is Sailing","relaxed"
"ML521","Blonde Redhead","For the Damaged","angry"
"ML522","Anthrax","This Is Not an Exit","angry"
"ML523","Iron & Wine","Peace Beneath the City","relaxed"
"ML524","The Black Heart Procession","The Invitation","sad"
"ML525","Nas","Ether","angry"
"ML526","Rage Against the Machine","Sleep Now in the Fire","angry"
"ML527","Stacey Kent","The Ice Hotel","relaxed"
"ML528","Devo","That's Good","happy"
"ML529","Lenny Kravitz","Can We Find A Reason?","sad"
"ML530","Ghostface Killah","Mighty Healthy","angry"
"ML531","Radiohead","We Suck Young Blood","sad"
"ML532","Joe Nichols","Tequila Makes Her Clothes Fall Off","happy"
"ML533","Natalie Merchant","Thick As Thieves (2005 Version)","sad"
"ML534","Beach House","House on the Hill","relaxed"
"ML535","Bloodhound Gang","You're Pretty When I'm Drunk","happy"
"ML536","Apocalyptica","Bittersweet","sad"
"ML537","Robin Williams","Friend Like Me","happy"
"ML538","Roxy Music","Just Another High","sad"
"ML539","XTC","Senses Working Overtime","angry"
